,path,filename,PON,ID,HEAT,camera,WBF,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,predict
0,test_images\20220304102918_wbf2_ch2_A70009_201_D20SAK6002.jpg,20220304102918_wbf2_ch2_A70009_201_D20SAK6002.jpg,D20SAK6002,201,A70009,ch2,wbf2,20220304102918,0.0,0.0,131284.0,185.0,416.0,371.0,356.0,448.0,370.0,529.0,406.0,540.0,383.0,454.0,390.0,368.0,376.0,342.0,313.0,321.0,316.0,282.0,319.0,332.0,310.0,312.0,349.0,371.0,340.0,346.0,326.0,361.0,380.0,403.0,419.0,406.0,433.0,481.0,392.0,526.0,503.0,510.0,597.0,591.0,620.0,624.0,691.0,639.0,649.0,691.0,678.0,755.0,730.0,838.0,784.0,812.0,858.0,841.0,924.0,800.0,970.0,933.0,857.0,883.0,921.0,875.0,919.0,910.0,835.0,853.0,929.0,978.0,943.0,889.0,964.0,967.0,1040.0,1040.0,1080.0,1098.0,1195.0,1296.0,1292.0,1407.0,1462.0,1536.0,1615.0,1717.0,1864.0,1919.0,2120.0,2245.0,2426.0,2497.0,2755.0,2883.0,2998.0,3240.0,3136.0,3530.0,3526.0,3935.0,3961.0,3682.0,4001.0,4013.0,4020.0,3968.0,4061.0,3975.0,3918.0,3964.0,3667.0,3713.0,3363.0,3258.0,2987.0,2963.0,2849.0,2720.0,2543.0,2345.0,2192.0,2073.0,1965.0,1765.0,1546.0,1534.0,1317.0,1315.0,1183.0,1081.0,969.0,923.0,851.0,729.0,762.0,647.0,572.0,542.0,482.0,470.0,387.0,412.0,339.0,320.0,310.0,260.0,250.0,227.0,205.0,174.0,167.0,177.0,164.0,136.0,129.0,143.0,100.0,111.0,94.0,100.0,75.0,63.0,75.0,65.0,63.0,55.0,55.0,50.0,41.0,41.0,46.0,39.0,42.0,48.0,45.0,31.0,41.0,38.0,31.0,32.0,31.0,30.0,32.0,34.0,40.0,28.0,33.0,27.0,30.0,29.0,31.0,24.0,30.0,45.0,23.0,24.0,34.0,33.0,31.0,31.0,34.0,42.0,29.0,26.0,42.0,26.0,26.0,25.0,36.0,32.0,32.0,26.0,21.0,27.0,18.0,20.0,29.0,24.0,16.0,18.0,22.0,13.0,14.0,13.0,11.0,17.0,13.0,12.0,16.0,8.0,9.0,5.0,9.0,7.0,5.0,4.0,2.0,2.0,6.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,5
1,test_images\20220304143749_wbf1_ch2_B67658_908_D22S3K0457.jpg,20220304143749_wbf1_ch2_B67658_908_D22S3K0457.jpg,D22S3K0457,908,B67658,ch2,wbf1,20220304143749,0.0,0.0,40094.0,1058.0,1935.0,2227.0,882.0,652.0,393.0,267.0,146.0,205.0,99.0,141.0,131.0,113.0,109.0,120.0,81.0,94.0,109.0,106.0,72.0,139.0,87.0,88.0,118.0,109.0,143.0,97.0,123.0,105.0,90.0,111.0,113.0,138.0,128.0,156.0,176.0,160.0,184.0,178.0,207.0,230.0,220.0,298.0,360.0,386.0,457.0,530.0,701.0,675.0,736.0,835.0,822.0,924.0,1045.0,1177.0,1189.0,1344.0,1400.0,1457.0,1434.0,1500.0,1591.0,1769.0,1659.0,1855.0,1893.0,1967.0,2074.0,2086.0,2225.0,2220.0,2406.0,2539.0,2677.0,2750.0,2774.0,2964.0,2985.0,3134.0,3128.0,3223.0,3303.0,3261.0,3592.0,3453.0,3504.0,3598.0,3404.0,3584.0,3516.0,3375.0,3505.0,3351.0,3269.0,3247.0,2996.0,3003.0,2920.0,2839.0,2702.0,2639.0,2602.0,2491.0,2373.0,2255.0,2107.0,2139.0,1856.0,1806.0,1871.0,1710.0,1620.0,1504.0,1556.0,1375.0,1340.0,1317.0,1281.0,1194.0,1195.0,1166.0,1126.0,1048.0,1090.0,1005.0,937.0,985.0,930.0,967.0,906.0,916.0,880.0,931.0,954.0,828.0,959.0,918.0,942.0,891.0,856.0,972.0,901.0,981.0,943.0,923.0,1047.0,1020.0,1069.0,1088.0,1054.0,1112.0,1067.0,1092.0,1113.0,1248.0,1155.0,1195.0,1268.0,1243.0,1246.0,1267.0,1286.0,1311.0,1280.0,1321.0,1441.0,1423.0,1386.0,1371.0,1357.0,1303.0,1426.0,1366.0,1424.0,1289.0,1381.0,1347.0,1367.0,1352.0,1249.0,1280.0,1313.0,1218.0,1311.0,1135.0,1095.0,1197.0,1070.0,1081.0,1053.0,1001.0,989.0,880.0,896.0,815.0,802.0,826.0,844.0,764.0,798.0,707.0,681.0,682.0,655.0,623.0,616.0,628.0,680.0,590.0,602.0,671.0,565.0,630.0,604.0,584.0,578.0,520.0,531.0,528.0,531.0,478.0,500.0,524.0,423.0,496.0,427.0,432.0,397.0,433.0,361.0,425.0,357.0,388.0,368.0,367.0,342.0,294.0,294.0,284.0,257.0,266.0,258.0,212.0,214.0,213.0,215.0,191.0,184.0,152.0,149.0,135.0,129.0,1686.0,4
2,test_images\20220305024934_wbf1_ch2_B68946_405_D22S3K0005.jpg,20220305024934_wbf1_ch2_B68946_405_D22S3K0005.jpg,D22S3K0005,405,B68946,ch2,wbf1,20220305024934,0.0,2.0,514.0,1066.0,1347.0,3587.0,1340.0,797.0,849.0,503.0,345.0,451.0,303.0,248.0,350.0,169.0,281.0,220.0,159.0,213.0,138.0,185.0,157.0,166.0,149.0,145.0,138.0,131.0,124.0,114.0,151.0,131.0,130.0,140.0,121.0,129.0,164.0,156.0,152.0,195.0,172.0,205.0,249.0,226.0,261.0,395.0,417.0,563.0,499.0,599.0,661.0,789.0,818.0,893.0,976.0,1052.0,1148.0,1284.0,1397.0,1522.0,1645.0,1668.0,1760.0,1909.0,2007.0,2116.0,2163.0,2131.0,2298.0,2458.0,2713.0,2734.0,2755.0,2999.0,3000.0,3256.0,3272.0,3581.0,3632.0,3786.0,4018.0,4177.0,4398.0,4613.0,4878.0,4885.0,5184.0,5252.0,5218.0,5425.0,5428.0,5606.0,5534.0,5454.0,5486.0,5323.0,5300.0,5270.0,5209.0,5134.0,4839.0,4858.0,4520.0,4451.0,4322.0,4011.0,4039.0,3798.0,3464.0,3255.0,3060.0,2918.0,2636.0,2640.0,2367.0,2179.0,2018.0,1860.0,1795.0,1671.0,1458.0,1458.0,1305.0,1227.0,1096.0,1054.0,985.0,856.0,857.0,779.0,676.0,650.0,633.0,549.0,563.0,517.0,492.0,417.0,453.0,371.0,345.0,345.0,316.0,333.0,264.0,282.0,259.0,228.0,235.0,208.0,222.0,230.0,225.0,209.0,213.0,236.0,200.0,230.0,222.0,224.0,217.0,204.0,236.0,249.0,251.0,259.0,246.0,277.0,262.0,268.0,289.0,268.0,284.0,299.0,312.0,327.0,327.0,320.0,387.0,347.0,390.0,409.0,371.0,366.0,386.0,370.0,418.0,341.0,399.0,375.0,395.0,400.0,420.0,464.0,412.0,476.0,469.0,454.0,459.0,490.0,533.0,520.0,563.0,577.0,591.0,592.0,608.0,663.0,681.0,696.0,726.0,736.0,765.0,814.0,789.0,829.0,883.0,909.0,967.0,969.0,946.0,923.0,956.0,1021.0,980.0,1000.0,958.0,870.0,918.0,911.0,841.0,841.0,835.0,835.0,826.0,724.0,679.0,632.0,612.0,603.0,545.0,577.0,528.0,507.0,451.0,481.0,460.0,463.0,427.0,435.0,422.0,427.0,394.0,374.0,359.0,6671.0,5
3,test_images\20220305163335_wbf1_ch2_B67807_201_E22B4K0142.jpg,20220305163335_wbf1_ch2_B67807_201_E22B4K0142.jpg,E22B4K0142,201,B67807,ch2,wbf1,20220305163335,0.0,0.0,2474.0,7375.0,2605.0,6250.0,2123.0,1710.0,1716.0,694.0,1004.0,761.0,495.0,689.0,319.0,456.0,351.0,380.0,310.0,273.0,322.0,249.0,251.0,297.0,200.0,254.0,194.0,212.0,163.0,161.0,154.0,127.0,130.0,124.0,113.0,113.0,105.0,118.0,126.0,102.0,97.0,124.0,111.0,118.0,144.0,152.0,188.0,175.0,233.0,272.0,296.0,275.0,338.0,349.0,402.0,421.0,469.0,523.0,545.0,585.0,696.0,724.0,697.0,800.0,804.0,855.0,866.0,932.0,987.0,1036.0,1001.0,1127.0,1146.0,1178.0,1239.0,1211.0,1355.0,1335.0,1302.0,1390.0,1433.0,1412.0,1440.0,1423.0,1423.0,1401.0,1435.0,1422.0,1402.0,1425.0,1303.0,1289.0,1295.0,1201.0,1191.0,1155.0,1146.0,1088.0,1069.0,1083.0,1067.0,969.0,911.0,926.0,964.0,825.0,831.0,847.0,817.0,827.0,762.0,800.0,718.0,744.0,733.0,696.0,691.0,774.0,711.0,729.0,714.0,767.0,701.0,705.0,739.0,716.0,766.0,750.0,747.0,783.0,787.0,784.0,789.0,832.0,893.0,921.0,898.0,840.0,851.0,977.0,1012.0,1067.0,986.0,1084.0,1108.0,1194.0,1237.0,1241.0,1307.0,1402.0,1375.0,1545.0,1622.0,1694.0,1771.0,1944.0,1926.0,2104.0,2240.0,2349.0,2507.0,2651.0,2638.0,2973.0,3117.0,3209.0,3394.0,3669.0,3702.0,3845.0,3913.0,4199.0,4162.0,4305.0,4354.0,4360.0,4509.0,4556.0,4353.0,4342.0,4309.0,4262.0,4221.0,4228.0,4087.0,3910.0,4039.0,3859.0,3738.0,3717.0,3421.0,3330.0,3183.0,3103.0,3043.0,2880.0,2704.0,2546.0,2499.0,2410.0,2218.0,2222.0,2027.0,1956.0,1851.0,1746.0,1669.0,1613.0,1519.0,1397.0,1329.0,1199.0,1161.0,1062.0,942.0,915.0,854.0,769.0,687.0,695.0,601.0,565.0,544.0,533.0,464.0,394.0,415.0,376.0,301.0,321.0,296.0,295.0,261.0,224.0,227.0,177.0,176.0,135.0,148.0,120.0,109.0,105.0,94.0,102.0,80.0,61.0,58.0,59.0,63.0,39.0,44.0,32.0,25.0,26.0,41.0,187.0,2
4,test_images\20220308022548_wbf1_ch2_B69462_401_E22B4K0175.jpg,20220308022548_wbf1_ch2_B69462_401_E22B4K0175.jpg,E22B4K0175,401,B69462,ch2,wbf1,20220308022548,0.0,0.0,9869.0,6256.0,2233.0,4112.0,1528.0,1281.0,1106.0,555.0,512.0,528.0,229.0,356.0,222.0,177.0,207.0,132.0,147.0,149.0,139.0,128.0,111.0,122.0,100.0,96.0,93.0,83.0,77.0,80.0,87.0,73.0,71.0,72.0,73.0,146.0,147.0,148.0,219.0,276.0,344.0,418.0,356.0,510.0,524.0,658.0,779.0,1015.0,1193.0,1133.0,1532.0,1490.0,1710.0,1725.0,1626.0,1682.0,1696.0,1885.0,1899.0,2026.0,1941.0,2004.0,2054.0,1956.0,1831.0,1888.0,1729.0,1678.0,1808.0,1663.0,1800.0,1611.0,1668.0,1618.0,1593.0,1720.0,1685.0,1498.0,1621.0,1448.0,1548.0,1506.0,1473.0,1556.0,1461.0,1525.0,1454.0,1400.0,1510.0,1343.0,1325.0,1456.0,1430.0,1406.0,1353.0,1399.0,1339.0,1340.0,1417.0,1373.0,1474.0,1478.0,1446.0,1492.0,1452.0,1513.0,1465.0,1558.0,1473.0,1601.0,1693.0,1532.0,1647.0,1710.0,1627.0,1725.0,1772.0,1736.0,1716.0,1725.0,1795.0,1908.0,1808.0,1833.0,1788.0,1834.0,1931.0,1857.0,1832.0,1813.0,1862.0,1806.0,1889.0,1879.0,1905.0,1959.0,1859.0,1887.0,1892.0,1996.0,1875.0,2046.0,2001.0,1989.0,1955.0,1984.0,1943.0,2017.0,2093.0,1967.0,2059.0,1960.0,2020.0,2001.0,2050.0,2074.0,2154.0,2175.0,2038.0,2048.0,2049.0,2083.0,2075.0,2154.0,2102.0,2041.0,1991.0,2087.0,2024.0,2000.0,1962.0,2002.0,1987.0,1946.0,1952.0,1962.0,1841.0,1973.0,1832.0,1933.0,1817.0,1828.0,1876.0,1814.0,1807.0,1844.0,1719.0,1779.0,1736.0,1662.0,1634.0,1623.0,1671.0,1533.0,1596.0,1507.0,1507.0,1488.0,1413.0,1401.0,1296.0,1338.0,1200.0,1172.0,1163.0,1089.0,1081.0,1043.0,978.0,964.0,939.0,852.0,891.0,775.0,775.0,732.0,678.0,653.0,597.0,549.0,542.0,451.0,524.0,430.0,439.0,426.0,328.0,361.0,337.0,331.0,303.0,264.0,244.0,226.0,233.0,205.0,170.0,158.0,157.0,125.0,118.0,81.0,95.0,70.0,73.0,75.0,39.0,52.0,37.0,54.0,18.0,18.0,23.0,20.0,13.0,78.0,4
5,test_images\20220311085939_wbf1_ch2_B69460_401_D22B3K0591.jpg,20220311085939_wbf1_ch2_B69460_401_D22B3K0591.jpg,D22B3K0591,401,B69460,ch2,wbf1,20220311085939,0.0,1.0,25163.0,4275.0,1485.0,2322.0,475.0,790.0,322.0,316.0,153.0,196.0,77.0,171.0,107.0,125.0,96.0,110.0,91.0,113.0,114.0,96.0,75.0,97.0,99.0,82.0,93.0,99.0,98.0,98.0,108.0,124.0,98.0,123.0,124.0,129.0,146.0,137.0,190.0,224.0,253.0,261.0,321.0,336.0,442.0,508.0,467.0,770.0,723.0,975.0,1030.0,1156.0,1388.0,1511.0,1570.0,1797.0,1827.0,2034.0,2110.0,2377.0,2247.0,2448.0,2457.0,2497.0,2567.0,2470.0,2551.0,2699.0,2684.0,2673.0,2777.0,2599.0,2715.0,2700.0,2725.0,2646.0,2635.0,2693.0,2711.0,2718.0,2631.0,2558.0,2565.0,2510.0,2388.0,2388.0,2197.0,2226.0,2008.0,1917.0,1913.0,1854.0,1761.0,1740.0,1644.0,1594.0,1433.0,1492.0,1433.0,1347.0,1318.0,1295.0,1240.0,1243.0,1281.0,1238.0,1176.0,1215.0,1161.0,1241.0,1186.0,1223.0,1218.0,1202.0,1268.0,1315.0,1231.0,1303.0,1369.0,1406.0,1328.0,1415.0,1439.0,1486.0,1484.0,1564.0,1580.0,1592.0,1717.0,1738.0,1742.0,1832.0,1842.0,1896.0,1901.0,1904.0,1978.0,2017.0,2077.0,1984.0,2110.0,2083.0,2022.0,2225.0,2175.0,2326.0,2231.0,2233.0,2351.0,2312.0,2294.0,2217.0,2300.0,2387.0,2319.0,2484.0,2322.0,2333.0,2306.0,2333.0,2404.0,2212.0,2277.0,2083.0,2042.0,2021.0,2025.0,2031.0,2017.0,1967.0,1759.0,1672.0,1771.0,1638.0,1641.0,1541.0,1540.0,1596.0,1440.0,1360.0,1309.0,1246.0,1209.0,1211.0,1188.0,1130.0,1073.0,1079.0,1032.0,933.0,939.0,936.0,886.0,847.0,802.0,811.0,778.0,728.0,754.0,703.0,745.0,646.0,636.0,587.0,606.0,577.0,548.0,555.0,504.0,521.0,492.0,424.0,438.0,428.0,407.0,388.0,388.0,364.0,319.0,286.0,379.0,265.0,275.0,232.0,231.0,228.0,227.0,217.0,179.0,179.0,179.0,153.0,147.0,172.0,145.0,149.0,105.0,120.0,91.0,89.0,85.0,72.0,81.0,59.0,53.0,39.0,39.0,32.0,40.0,28.0,14.0,19.0,20.0,9.0,10.0,51.0,4
6,test_images\20220314023834_wbf1_ch2_B69588_404_D22B3K0804.jpg,20220314023834_wbf1_ch2_B69588_404_D22B3K0804.jpg,D22B3K0804,404,B69588,ch2,wbf1,20220314023834,0.0,5.0,14898.0,1774.0,5120.0,5436.0,4506.0,4266.0,5016.0,3577.0,3240.0,4251.0,2437.0,4025.0,2780.0,2976.0,2355.0,2970.0,2023.0,2483.0,2312.0,2039.0,2229.0,2282.0,2479.0,2149.0,2290.0,2262.0,2041.0,2330.0,1897.0,2005.0,1812.0,1916.0,1900.0,1951.0,2225.0,2000.0,1997.0,1960.0,1887.0,2020.0,1794.0,1741.0,1843.0,1720.0,1835.0,1762.0,2064.0,1676.0,1918.0,1819.0,1714.0,1801.0,1630.0,1573.0,1542.0,1524.0,1458.0,1399.0,1574.0,1454.0,1432.0,1404.0,1362.0,1431.0,1345.0,1365.0,1215.0,1272.0,1189.0,1210.0,1203.0,1221.0,1237.0,1147.0,1219.0,1221.0,1223.0,1215.0,1149.0,1252.0,1224.0,1287.0,1311.0,1431.0,1335.0,1423.0,1386.0,1340.0,1446.0,1418.0,1495.0,1556.0,1523.0,1582.0,1663.0,1598.0,1654.0,1692.0,1735.0,1632.0,1687.0,1752.0,1754.0,1832.0,1753.0,1770.0,1746.0,1816.0,1838.0,1889.0,1877.0,1842.0,1810.0,1861.0,1905.0,1845.0,1886.0,1849.0,1889.0,1857.0,1870.0,1884.0,1946.0,1900.0,1952.0,1951.0,1968.0,1878.0,1899.0,1917.0,1942.0,1972.0,1881.0,1911.0,1933.0,1840.0,1915.0,1920.0,1847.0,1741.0,1812.0,1697.0,1637.0,1635.0,1601.0,1554.0,1478.0,1495.0,1478.0,1389.0,1411.0,1361.0,1244.0,1299.0,1295.0,1162.0,1119.0,1073.0,986.0,1071.0,923.0,884.0,821.0,830.0,732.0,680.0,619.0,621.0,567.0,520.0,487.0,439.0,407.0,384.0,363.0,328.0,314.0,274.0,276.0,245.0,241.0,224.0,192.0,192.0,189.0,179.0,157.0,140.0,154.0,116.0,98.0,127.0,85.0,88.0,78.0,96.0,93.0,74.0,73.0,84.0,92.0,90.0,78.0,78.0,88.0,68.0,77.0,67.0,74.0,89.0,103.0,98.0,92.0,114.0,108.0,87.0,108.0,94.0,116.0,86.0,91.0,89.0,111.0,87.0,87.0,75.0,87.0,85.0,80.0,74.0,74.0,60.0,57.0,48.0,52.0,52.0,28.0,35.0,33.0,39.0,29.0,28.0,27.0,24.0,17.0,22.0,20.0,24.0,17.0,25.0,18.0,15.0,18.0,164.0,5
7,test_images\20220315000844_wbf1_ch2_A66404_205_D22B3K0630.jpg,20220315000844_wbf1_ch2_A66404_205_D22B3K0630.jpg,D22B3K0630,205,A66404,ch2,wbf1,20220315000844,0.0,3.0,256.0,802.0,1014.0,1734.0,1429.0,710.0,1135.0,551.0,522.0,462.0,385.0,343.0,284.0,216.0,171.0,197.0,133.0,125.0,152.0,117.0,108.0,132.0,115.0,83.0,92.0,85.0,77.0,81.0,93.0,66.0,77.0,64.0,75.0,76.0,78.0,71.0,100.0,74.0,92.0,108.0,81.0,85.0,90.0,95.0,101.0,113.0,181.0,149.0,177.0,197.0,248.0,246.0,238.0,355.0,319.0,405.0,465.0,460.0,590.0,532.0,689.0,671.0,785.0,831.0,833.0,938.0,984.0,1119.0,1138.0,1347.0,1354.0,1412.0,1568.0,1497.0,1709.0,1760.0,1867.0,1934.0,1934.0,2142.0,2130.0,2195.0,2399.0,2483.0,2634.0,2757.0,2818.0,2867.0,2928.0,3041.0,3027.0,3142.0,3193.0,3341.0,3303.0,3479.0,3289.0,3397.0,3496.0,3399.0,3363.0,3431.0,3354.0,3265.0,3203.0,3201.0,3032.0,2901.0,2889.0,2918.0,2864.0,2733.0,2553.0,2495.0,2389.0,2313.0,2312.0,2180.0,2175.0,1979.0,1979.0,1824.0,1836.0,1785.0,1767.0,1635.0,1665.0,1497.0,1527.0,1461.0,1451.0,1487.0,1379.0,1402.0,1321.0,1295.0,1317.0,1282.0,1317.0,1247.0,1348.0,1248.0,1242.0,1276.0,1257.0,1354.0,1306.0,1363.0,1360.0,1355.0,1381.0,1379.0,1434.0,1405.0,1440.0,1507.0,1448.0,1467.0,1553.0,1495.0,1559.0,1609.0,1526.0,1620.0,1686.0,1635.0,1742.0,1784.0,1812.0,1771.0,1781.0,1949.0,1897.0,1939.0,1932.0,1954.0,1940.0,1998.0,2005.0,2046.0,2059.0,2039.0,2108.0,2011.0,1985.0,2011.0,2039.0,2020.0,2009.0,1839.0,1915.0,1847.0,1845.0,1810.0,1778.0,1774.0,1725.0,1654.0,1665.0,1613.0,1569.0,1484.0,1563.0,1464.0,1411.0,1322.0,1367.0,1328.0,1248.0,1267.0,1177.0,1293.0,1160.0,1127.0,1057.0,1045.0,1056.0,1000.0,1015.0,893.0,873.0,922.0,836.0,810.0,741.0,686.0,662.0,589.0,550.0,490.0,455.0,442.0,389.0,341.0,326.0,297.0,282.0,265.0,233.0,218.0,182.0,160.0,133.0,149.0,132.0,135.0,127.0,114.0,93.0,82.0,84.0,61.0,72.0,525.0,4
8,test_images\20220315035852_wbf2_ch1_A70209_101_D22S3K1868.jpg,20220315035852_wbf2_ch1_A70209_101_D22S3K1868.jpg,D22S3K1868,101,A70209,ch1,wbf2,20220315035852,0.0,3.0,43909.0,4806.0,13352.0,15513.0,9295.0,8204.0,5967.0,5509.0,3382.0,3758.0,2872.0,2708.0,2404.0,2417.0,1356.0,2703.0,772.0,1924.0,1298.0,1205.0,1427.0,857.0,2425.0,819.0,1711.0,1586.0,1459.0,1610.0,1585.0,1224.0,1602.0,1250.0,1480.0,1187.0,1894.0,1570.0,1683.0,1866.0,1890.0,1504.0,2328.0,1677.0,1922.0,2158.0,1718.0,1838.0,2146.0,2373.0,2371.0,2781.0,2660.0,2220.0,2551.0,2997.0,2025.0,2895.0,2104.0,2542.0,1975.0,3524.0,2632.0,2729.0,3040.0,2750.0,3306.0,2672.0,2769.0,2742.0,2433.0,2583.0,2147.0,3149.0,1913.0,2646.0,2065.0,2537.0,2084.0,2617.0,2174.0,2121.0,2299.0,1765.0,2124.0,1712.0,2222.0,1797.0,1973.0,1852.0,1790.0,1986.0,1667.0,1890.0,1468.0,1722.0,1488.0,1595.0,1535.0,1448.0,1563.0,1250.0,1472.0,1195.0,1260.0,1203.0,1084.0,1278.0,1002.0,1098.0,1030.0,1013.0,917.0,862.0,902.0,805.0,831.0,727.0,735.0,723.0,665.0,631.0,566.0,606.0,528.0,505.0,525.0,452.0,464.0,432.0,429.0,388.0,353.0,377.0,334.0,352.0,302.0,278.0,309.0,291.0,308.0,235.0,260.0,254.0,225.0,181.0,172.0,170.0,154.0,145.0,138.0,121.0,117.0,130.0,103.0,105.0,87.0,85.0,73.0,81.0,69.0,69.0,80.0,63.0,63.0,56.0,51.0,41.0,52.0,43.0,43.0,41.0,41.0,32.0,41.0,31.0,33.0,29.0,38.0,19.0,16.0,21.0,37.0,18.0,20.0,20.0,18.0,17.0,14.0,16.0,16.0,12.0,7.0,8.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
9,test_images\20220315041532_wbf1_ch1_B69466_308_E22B5K0055.jpg,20220315041532_wbf1_ch1_B69466_308_E22B5K0055.jpg,E22B5K0055,308,B69466,ch1,wbf1,20220315041532,0.0,1.0,240362.0,200.0,256.0,71.0,108.0,88.0,71.0,50.0,64.0,45.0,54.0,41.0,47.0,43.0,42.0,31.0,25.0,37.0,51.0,43.0,33.0,51.0,40.0,50.0,41.0,49.0,40.0,45.0,45.0,52.0,42.0,48.0,54.0,63.0,49.0,58.0,85.0,85.0,87.0,109.0,102.0,105.0,142.0,130.0,203.0,178.0,235.0,199.0,246.0,340.0,310.0,342.0,453.0,414.0,503.0,447.0,529.0,561.0,544.0,641.0,678.0,742.0,704.0,905.0,810.0,847.0,904.0,853.0,1031.0,929.0,1082.0,956.0,1069.0,1009.0,1086.0,1058.0,1145.0,1140.0,1173.0,1273.0,1235.0,1417.0,1394.0,1576.0,1563.0,1644.0,1684.0,1745.0,1897.0,1839.0,1895.0,1870.0,1915.0,1871.0,1896.0,1894.0,1941.0,1864.0,1818.0,1801.0,1774.0,1747.0,1563.0,1523.0,1478.0,1356.0,1308.0,1212.0,1069.0,997.0,886.0,882.0,803.0,708.0,706.0,615.0,596.0,508.0,493.0,473.0,396.0,377.0,320.0,284.0,303.0,254.0,218.0,215.0,176.0,154.0,138.0,121.0,118.0,98.0,96.0,95.0,89.0,81.0,57.0,64.0,52.0,47.0,37.0,35.0,27.0,25.0,22.0,20.0,15.0,17.0,6.0,5.0,10.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
